ID	Technology	Multi_Details	HG_Num	Type	METRIC.Precision	METRIC.Recall	METRIC.F1_Score	TRUTH.TP	TRUTH.FN	QUERY.TP	QUERY.FP	FP.gt	FP.al	challenge_cat
S7K7S	ILLUMINA	NA	2	SNVandINDEL	0.9989487404509949	0.9946765938219496	0.9968080897375733	3870030	20712	3894083	4098	1683	718	All Benchmark Regions
S7K7S	ILLUMINA	NA	2	SNVandINDEL	0.9885578269820982	0.9316088405530221	0.959238827113494	258010	18941	258324	2990	1096	336	Difficult-to-Map Regions
S7K7S	ILLUMINA	NA	2	SNVandINDEL	0.9978667161341186	0.984965163182985	0.9913739668442434	21488	328	21517	46	23	18	MHC
S7K7S	ILLUMINA	NA	3	SNVandINDEL	0.9978372557027618	0.9939316829492021	0.995880640192432	3813039	23280	3835876	8314	2399	1030	All Benchmark Regions
S7K7S	ILLUMINA	NA	3	SNVandINDEL	0.9787809636690384	0.9230316548121562	0.9500891978680526	254094	21188	254347	5514	1585	437	Difficult-to-Map Regions
S7K7S	ILLUMINA	NA	3	SNVandINDEL	0.9780689526995633	0.9821871055215298	0.9801237033535635	21008	381	21050	472	93	207	MHC
S7K7S	ILLUMINA	NA	4	SNVandINDEL	0.9979358084702836	0.9936367465924257	0.9957816374962772	3842440	24607	3866159	7997	2448	1008	All Benchmark Regions
S7K7S	ILLUMINA	NA	4	SNVandINDEL	0.9786697986322909	0.9203845399254463	0.9486327316333656	258016	22319	258315	5630	1688	464	Difficult-to-Map Regions
S7K7S	ILLUMINA	NA	4	SNVandINDEL	0.9847936278059377	0.9728397275008964	0.9787801805912589	21706	606	21760	336	52	145	MHC
KPXT2	PACBIO	NA	2	INDEL	0.996187	0.996566	0.996377	523591	1804	546042	2090	932	917	All Benchmark Regions
KPXT2	PACBIO	NA	2	INDEL	0.995909	0.973558	0.984606	1620	44	1704	7	4	3	MHC
KPXT2	PACBIO	NA	2	INDEL	0.996665	0.993951	0.995306	17418	106	17634	59	14	3	Difficult-to-Map Regions
KPXT2	PACBIO	NA	2	SNP	0.999661	0.999357	0.999509	3363183	2164	3366245	1140	544	127	All Benchmark Regions
KPXT2	PACBIO	NA	2	SNP	0.999346	0.986949	0.993109	19889	263	19854	13	6	7	MHC
KPXT2	PACBIO	NA	2	SNP	0.997488	0.994199	0.995841	257922	1505	258085	650	169	30	Difficult-to-Map Regions
KPXT2	PACBIO	NA	3	INDEL	0.995198	0.994925	0.995062	502268	2562	523548	2526	1152	1067	All Benchmark Regions
KPXT2	PACBIO	NA	3	INDEL	0.991243	0.975167	0.983139	1610	41	1698	15	4	11	MHC
KPXT2	PACBIO	NA	3	INDEL	0.98902	0.976541	0.982741	16068	386	16213	180	21	16	Difficult-to-Map Regions
KPXT2	PACBIO	NA	3	SNP	0.999356	0.997681	0.998518	3323763	7726	3326505	2144	639	291	All Benchmark Regions
KPXT2	PACBIO	NA	3	SNP	0.99856	0.985004	0.991735	19442	296	19412	28	22	5	MHC
KPXT2	PACBIO	NA	3	SNP	0.996229	0.974114	0.985048	252128	6700	252308	955	259	57	Difficult-to-Map Regions
KPXT2	PACBIO	NA	4	INDEL	0.995088	0.994461	0.994775	508617	2833	530614	2619	1337	1037	All Benchmark Regions
KPXT2	PACBIO	NA	4	INDEL	0.988082	0.955017	0.971268	1656	78	1741	21	7	12	MHC
KPXT2	PACBIO	NA	4	INDEL	0.99122	0.980274	0.985716	16200	326	16369	145	13	19	Difficult-to-Map Regions
KPXT2	PACBIO	NA	4	SNP	0.999451	0.997584	0.998517	3347489	8108	3350484	1839	646	304	All Benchmark Regions
KPXT2	PACBIO	NA	4	SNP	0.997733	0.963019	0.980069	19817	761	19808	45	21	21	MHC
KPXT2	PACBIO	NA	4	SNP	0.997212	0.975312	0.98614	257296	6513	257495	720	266	59	Difficult-to-Map Regions
KPXT2	PACBIO	NA	2	SNVandINDEL	0.9991750770077106	0.9989801431192302	0.9990776005548946	3886774	3968	3912287	3230	1476	1044	All Benchmark Regions
KPXT2	PACBIO	NA	2	SNVandINDEL	0.9974351368168203	0.994183086538774	0.99580645659288	275340	1611	275719	709	183	33	Difficult-to-Map Regions
KPXT2	PACBIO	NA	2	SNVandINDEL	0.9990731300398554	0.9859277594426109	0.9924569181188889	21509	307	21558	20	10	10	MHC
KPXT2	PACBIO	NA	3	SNVandINDEL	0.9987884991995534	0.9973182626366577	0.9980528394652152	3826031	10288	3850053	4670	1791	1358	All Benchmark Regions
KPXT2	PACBIO	NA	3	SNVandINDEL	0.9957909336339633	0.9742591233716698	0.9849073617329994	268196	7086	268521	1135	280	73	Difficult-to-Map Regions
KPXT2	PACBIO	NA	3	SNVandINDEL	0.9979671914149293	0.9842442376922718	0.9910582121892945	21052	337	21110	43	26	16	MHC
KPXT2	PACBIO	NA	4	SNVandINDEL	0.9988526738515672	0.9971707093293668	0.9980109829302685	3856106	10941	3881098	4458	1983	1341	All Benchmark Regions
KPXT2	PACBIO	NA	4	SNVandINDEL	0.996851442694437	0.9756041878466835	0.986113377756333	273496	6839	273864	865	279	78	Difficult-to-Map Regions
KPXT2	PACBIO	NA	4	SNVandINDEL	0.9969465648854962	0.9623969164575117	0.9793671288926445	21473	839	21549	66	28	33	MHC
K4GT3	MULTI	ILLUMINAPACBIO	4	INDEL	0.996496	0.997315	0.996906	510077	1373	532423	1872	653	991	All Benchmark Regions
K4GT3	MULTI	ILLUMINAPACBIO	4	INDEL	0.980088	0.967705	0.973857	1678	56	1772	36	14	20	MHC
K4GT3	MULTI	ILLUMINAPACBIO	4	INDEL	0.988745	0.991468	0.990104	16385	141	16603	189	28	41	Difficult-to-Map Regions
K4GT3	MULTI	ILLUMINAPACBIO	4	SNP	0.999008	0.999425	0.999216	3353666	1931	3356020	3331	609	597	All Benchmark Regions
K4GT3	MULTI	ILLUMINAPACBIO	4	SNP	0.997449	0.988872	0.993142	20349	229	20336	52	16	31	MHC
K4GT3	MULTI	ILLUMINAPACBIO	4	SNP	0.993845	0.994705	0.994274	262412	1397	262535	1626	304	133	Difficult-to-Map Regions
K4GT3	MULTI	ILLUMINAPACBIO	2	INDEL	0.998073	0.998599	0.998336	524659	736	547573	1057	283	667	All Benchmark Regions
K4GT3	MULTI	ILLUMINAPACBIO	2	INDEL	0.986103	0.970553	0.978266	1615	49	1703	24	10	14	MHC
K4GT3	MULTI	ILLUMINAPACBIO	2	INDEL	0.993533	0.99241	0.992971	17391	133	17667	115	27	16	Difficult-to-Map Regions
K4GT3	MULTI	ILLUMINAPACBIO	2	SNP	0.999529	0.999427	0.999478	3363418	1929	3365956	1587	458	151	All Benchmark Regions
K4GT3	MULTI	ILLUMINAPACBIO	2	SNP	0.998894	0.987148	0.992986	19893	259	19870	22	10	11	MHC
K4GT3	MULTI	ILLUMINAPACBIO	2	SNP	0.995511	0.994758	0.995134	258067	1360	258155	1164	179	40	Difficult-to-Map Regions
K4GT3	MULTI	ILLUMINAPACBIO	3	INDEL	0.99648	0.997512	0.996996	503574	1256	525133	1855	630	958	All Benchmark Regions
K4GT3	MULTI	ILLUMINAPACBIO	3	INDEL	0.985755	0.983646	0.9847	1624	27	1730	25	14	11	MHC
K4GT3	MULTI	ILLUMINAPACBIO	3	INDEL	0.987199	0.991005	0.989099	16306	148	16504	214	30	31	Difficult-to-Map Regions
K4GT3	MULTI	ILLUMINAPACBIO	3	SNP	0.998916	0.999409	0.999163	3329520	1969	3331762	3614	610	507	All Benchmark Regions
K4GT3	MULTI	ILLUMINAPACBIO	3	SNP	0.997461	0.996048	0.996754	19660	78	19645	50	28	19	MHC
K4GT3	MULTI	ILLUMINAPACBIO	3	SNP	0.992359	0.994147	0.993252	257313	1515	257402	1982	284	123	Difficult-to-Map Regions
K4GT3	MULTI	ILLUMINAPACBIO	2	SNVandINDEL	0.9993248510727182	0.9993150406786161	0.9993199458515898	3888077	2665	3913529	2644	741	818	All Benchmark Regions
K4GT3	MULTI	ILLUMINAPACBIO	2	SNVandINDEL	0.9953843544411605	0.9946091546880134	0.994996603575487	275458	1493	275822	1279	206	56	Difficult-to-Map Regions
K4GT3	MULTI	ILLUMINAPACBIO	2	SNVandINDEL	0.9978722420093437	0.9858819215254859	0.9918408454766616	21508	308	21573	46	20	25	MHC
K4GT3	MULTI	ILLUMINAPACBIO	3	SNVandINDEL	0.9985840278130181	0.9991593504085557	0.9988716062682926	3833094	3225	3856895	5469	1240	1465	All Benchmark Regions
K4GT3	MULTI	ILLUMINAPACBIO	3	SNVandINDEL	0.9920464176282678	0.9939589221234951	0.9930017490139454	273619	1663	273906	2196	314	154	Difficult-to-Map Regions
K4GT3	MULTI	ILLUMINAPACBIO	3	SNVandINDEL	0.9965034965034965	0.9950909345925476	0.995796714609899	21284	105	21375	75	42	30	MHC
K4GT3	MULTI	ILLUMINAPACBIO	4	SNVandINDEL	0.9986637203279394	0.999145601281805	0.998904602688902	3863743	3304	3888443	5203	1262	1588	All Benchmark Regions
K4GT3	MULTI	ILLUMINAPACBIO	4	SNVandINDEL	0.993539844742715	0.9945137068150606	0.9940265372522809	278797	1538	279138	1815	332	174	Difficult-to-Map Regions
K4GT3	MULTI	ILLUMINAPACBIO	4	SNVandINDEL	0.9960353216795819	0.9872266045177484	0.9916114010082998	22027	285	22108	88	30	51	MHC
BSODP	ILLUMINA	NA	2	INDEL	0.997703	0.994322	0.99601	522412	2983	544607	1254	678	229	All Benchmark Regions
BSODP	ILLUMINA	NA	2	INDEL	0.98869	0.960938	0.974616	1599	65	1661	19	9	10	MHC
BSODP	ILLUMINA	NA	2	INDEL	0.976853	0.917827	0.94642	16084	1440	16332	387	92	44	Difficult-to-Map Regions
BSODP	ILLUMINA	NA	2	SNP	0.998259	0.994	0.996125	3345155	20192	3346868	5836	1564	491	All Benchmark Regions
BSODP	ILLUMINA	NA	2	SNP	0.997779	0.982533	0.990097	19800	352	19765	44	25	11	MHC
BSODP	ILLUMINA	NA	2	SNP	0.978262	0.925405	0.9511	240075	19352	240135	5336	1434	360	Difficult-to-Map Regions
BSODP	ILLUMINA	NA	4	INDEL	0.997451	0.994306	0.995876	508538	2912	530590	1356	722	265	All Benchmark Regions
BSODP	ILLUMINA	NA	4	INDEL	0.984474	0.948097	0.965943	1644	90	1712	27	12	12	MHC
BSODP	ILLUMINA	NA	4	INDEL	0.976315	0.912017	0.943072	15072	1454	15293	371	97	34	Difficult-to-Map Regions
BSODP	ILLUMINA	NA	4	SNP	0.99779	0.993342	0.995561	3333257	22340	3334865	7387	1867	591	All Benchmark Regions
BSODP	ILLUMINA	NA	4	SNP	0.994743	0.975168	0.984858	20067	511	20056	106	34	33	MHC
BSODP	ILLUMINA	NA	4	SNP	0.975324	0.919506	0.946593	242574	21235	242650	6139	1690	441	Difficult-to-Map Regions
BSODP	ILLUMINA	NA	3	INDEL	0.997421	0.994628	0.996023	502118	2712	523310	1353	713	262	All Benchmark Regions
BSODP	ILLUMINA	NA	3	INDEL	0.983021	0.972138	0.977549	1605	46	1679	29	18	10	MHC
BSODP	ILLUMINA	NA	3	INDEL	0.97481	0.91455	0.943719	15048	1406	15247	394	116	51	Difficult-to-Map Regions
BSODP	ILLUMINA	NA	3	SNP	0.997682	0.993734	0.995704	3310613	20876	3312226	7694	1744	548	All Benchmark Regions
BSODP	ILLUMINA	NA	3	SNP	0.993758	0.985257	0.989489	19447	291	19422	122	42	40	MHC
BSODP	ILLUMINA	NA	3	SNP	0.974922	0.922899	0.948197	238872	19956	238925	6146	1567	401	Difficult-to-Map Regions
BSODP	ILLUMINA	NA	2	SNVandINDEL	0.9981813821239354	0.9940435526179839	0.996108170257536	3867567	23175	3891475	7090	2242	720	All Benchmark Regions
BSODP	ILLUMINA	NA	2	SNVandINDEL	0.9781723177848125	0.9249253478052074	0.950803931505057	256159	20792	256467	5723	1526	404	Difficult-to-Map Regions
BSODP	ILLUMINA	NA	2	SNVandINDEL	0.9970682674856903	0.9808855885588559	0.9889107285261503	21399	417	21426	63	34	21	MHC
BSODP	ILLUMINA	NA	3	SNVandINDEL	0.9976468189137808	0.9938513976548874	0.9957454916045869	3812731	23588	3835536	9047	2457	810	All Benchmark Regions
BSODP	ILLUMINA	NA	3	SNVandINDEL	0.9749148485685354	0.9223995757078196	0.9479304338434603	253920	21362	254172	6540	1683	452	Difficult-to-Map Regions
BSODP	ILLUMINA	NA	3	SNVandINDEL	0.9928947863730473	0.9842442376922718	0.9885505877204166	21052	337	21101	151	60	50	MHC
BSODP	ILLUMINA	NA	4	SNVandINDEL	0.9977432748661788	0.993469952653795	0.9956020282935792	3841795	25252	3865455	8743	2589	856	All Benchmark Regions
BSODP	ILLUMINA	NA	4	SNVandINDEL	0.9753831493686969	0.9190646904596287	0.9463867976806523	257646	22689	257943	6510	1787	475	Difficult-to-Map Regions
BSODP	ILLUMINA	NA	4	SNVandINDEL	0.9939272179352541	0.9730638221584798	0.9833848735633635	21711	601	21768	133	46	45	MHC
ES3XW	ILLUMINA	NA	2	INDEL	0.997531	0.99452	0.996024	522516	2879	544311	1347	846	213	All Benchmark Regions
ES3XW	ILLUMINA	NA	2	INDEL	0.989929	0.960938	0.975218	1599	65	1671	17	7	10	MHC
ES3XW	ILLUMINA	NA	2	INDEL	0.99559	0.992639	0.994112	17395	129	17611	78	10	2	Difficult-to-Map Regions
ES3XW	ILLUMINA	NA	2	SNP	0.99959	0.99933	0.99946	3363092	2255	3366146	1380	219	122	All Benchmark Regions
ES3XW	ILLUMINA	NA	2	SNP	0.999298	0.990224	0.994741	19955	197	19933	14	6	8	MHC
ES3XW	ILLUMINA	NA	2	SNP	0.99550399999999994	0.993667	0.994584	257784	1643	257945	1165	118	33	Difficult-to-Map Regions
ES3XW	ILLUMINA	NA	4	INDEL	0.998296	0.992822	0.995552	507779	3671	529673	904	501	192	All Benchmark Regions
ES3XW	ILLUMINA	NA	4	INDEL	0.984438	0.946367	0.965027	1641	93	1708	27	12	12	MHC
ES3XW	ILLUMINA	NA	4	INDEL	0.986149	0.900157	0.941193	14876	1650	15094	212	67	20	Difficult-to-Map Regions
ES3XW	ILLUMINA	NA	4	SNP	0.998727	0.992277	0.995491	3329681	25916	3331261	4246	1039	353	All Benchmark Regions
ES3XW	ILLUMINA	NA	4	SNP	0.995274	0.972641	0.983827	20015	563	20006	95	33	27	MHC
ES3XW	ILLUMINA	NA	4	SNP	0.986289	0.907444	0.945225	239392	24417	239468	3329	920	235	Difficult-to-Map Regions
ES3XW	ILLUMINA	NA	3	INDEL	0.998181	0.993057	0.995612	501325	3505	522364	952	493	210	All Benchmark Regions
ES3XW	ILLUMINA	NA	3	INDEL	0.985259	0.968504	0.97681	1599	52	1671	25	9	15	MHC
ES3XW	ILLUMINA	NA	3	INDEL	0.985099	0.904157	0.942894	14877	1577	15073	228	65	33	Difficult-to-Map Regions
ES3XW	ILLUMINA	NA	3	SNP	0.998651	0.992707	0.99567	3307191	24298	3308759	4471	943	357	All Benchmark Regions
ES3XW	ILLUMINA	NA	3	SNP	0.994769	0.98394	0.989325	19421	317	19397	102	35	32	MHC
ES3XW	ILLUMINA	NA	3	SNP	0.986348	0.910918	0.947133	235771	23057	235824	3264	828	213	Difficult-to-Map Regions
ES3XW	ILLUMINA	NA	2	SNVandINDEL	0.9993031250255546	0.9986804573523508	0.9989916941623718	3885608	5134	3910457	2727	1065	335	All Benchmark Regions
ES3XW	ILLUMINA	NA	2	SNVandINDEL	0.9955093768402342	0.9936017562673541	0.9945546518195219	275179	1772	275556	1243	128	35	Difficult-to-Map Regions
ES3XW	ILLUMINA	NA	2	SNVandINDEL	0.9985671365842385	0.987990465713238	0.9932506454167866	21554	262	21604	31	13	18	MHC
ES3XW	ILLUMINA	NA	3	SNVandINDEL	0.998586488992964	0.9927526881888602	0.995661043278237	3808516	27803	3831123	5423	1436	567	All Benchmark Regions
ES3XW	ILLUMINA	NA	3	SNVandINDEL	0.9862729913636202	0.9105135824354662	0.9468803364916204	250648	24634	250897	3492	893	246	Difficult-to-Map Regions
ES3XW	ILLUMINA	NA	3	SNVandINDEL	0.9940080207596131	0.9827481415680958	0.9883460122415908	21020	369	21068	127	44	47	MHC
ES3XW	ILLUMINA	NA	4	SNVandINDEL	0.9986679027149953	0.9923489422290446	0.9954983951179761	3837460	29587	3860934	5150	1540	545	All Benchmark Regions
ES3XW	ILLUMINA	NA	4	SNVandINDEL	0.9862806708949527	0.907014821552785	0.9449884503302806	254268	26067	254562	3541	987	255	Difficult-to-Map Regions
ES3XW	ILLUMINA	NA	4	SNVandINDEL	0.9944128961348232	0.9705987809250628	0.9823615360583994	21656	656	21714	122	45	39	MHC
B1S5A	PACBIO	NA	4	INDEL	0.993627	0.993143	0.993385	507943	3507	529300	3395	1893	905	All Benchmark Regions
B1S5A	PACBIO	NA	4	INDEL	0.979061	0.955594	0.967185	1657	77	1730	37	14	21	MHC
B1S5A	PACBIO	NA	4	INDEL	0.988119	0.991468	0.989791	16385	141	16551	199	24	22	Difficult-to-Map Regions
B1S5A	PACBIO	NA	4	SNP	0.999117	0.999065	0.999091	3352460	3137	3355474	2967	615	396	All Benchmark Regions
B1S5A	PACBIO	NA	4	SNP	0.997833	0.985033	0.991391	20270	308	20259	44	17	23	MHC
B1S5A	PACBIO	NA	4	SNP	0.993162	0.991854	0.992507	261660	2149	261859	1803	300	121	Difficult-to-Map Regions
B1S5A	PACBIO	NA	2	INDEL	0.996793	0.996153	0.996473	523374	2021	545509	1755	964	285	All Benchmark Regions
B1S5A	PACBIO	NA	2	INDEL	0.989343	0.960938	0.974933	1599	65	1671	18	8	10	MHC
B1S5A	PACBIO	NA	2	INDEL	0.994133	0.993266	0.9937	17406	118	17623	104	12	2	Difficult-to-Map Regions
B1S5A	PACBIO	NA	2	SNP	0.999545	0.999436	0.999491	3363450	1897	3366564	1531	233	107	All Benchmark Regions
B1S5A	PACBIO	NA	2	SNP	0.999298	0.990472	0.994866	19960	192	19938	14	6	8	MHC
B1S5A	PACBIO	NA	2	SNP	0.994881	0.994218	0.994549	257927	1500	258088	1328	129	36	Difficult-to-Map Regions
B1S5A	PACBIO	NA	3	INDEL	0.993927	0.993762	0.993845	501681	3149	522413	3192	1677	864	All Benchmark Regions
B1S5A	PACBIO	NA	3	INDEL	0.984786	0.971532	0.978115	1604	47	1683	26	17	8	MHC
B1S5A	PACBIO	NA	3	INDEL	0.987022	0.989972	0.988495	16289	165	16428	216	26	19	Difficult-to-Map Regions
B1S5A	PACBIO	NA	3	SNP	0.998952	0.999066	0.999009	3328376	3113	3331177	3495	646	352	All Benchmark Regions
B1S5A	PACBIO	NA	3	SNP	0.9976	0.990982	0.99428	19560	178	19538	47	36	9	MHC
B1S5A	PACBIO	NA	3	SNP	0.991347	0.990782	0.991064	256442	2386	256632	2240	323	127	Difficult-to-Map Regions
B1S5A	PACBIO	NA	2	SNVandINDEL	0.999160741071253	0.9989929941383932	0.9990768605635646	3886824	3918	3912073	3286	1197	392	All Benchmark Regions
B1S5A	PACBIO	NA	2	SNVandINDEL	0.9948329923541277	0.9941578113095818	0.994495287233677	275333	1618	275711	1432	141	38	Difficult-to-Map Regions
B1S5A	PACBIO	NA	2	SNVandINDEL	0.9985213252622337	0.9882196552988632	0.9933437821175135	21559	257	21609	32	14	18	MHC
B1S5A	PACBIO	NA	3	SNVandINDEL	0.9982677408900967	0.9983677061266282	0.9983177210058904	3830057	6262	3853590	6687	2323	1216	All Benchmark Regions
B1S5A	PACBIO	NA	3	SNVandINDEL	0.9910858171576242	0.9907331391082599	0.9909094467522233	272731	2551	273060	2456	349	146	Difficult-to-Map Regions
B1S5A	PACBIO	NA	3	SNVandINDEL	0.996571804264112	0.9894805741268876	0.9930135295231249	21164	225	21221	73	53	17	MHC
B1S5A	PACBIO	NA	4	SNVandINDEL	0.9983650018914785	0.998281893134477	0.9983234457833114	3860403	6644	3884774	6362	2508	1301	All Benchmark Regions
B1S5A	PACBIO	NA	4	SNVandINDEL	0.9928605052565511	0.9918312019548041	0.9923455866963931	278045	2290	278410	2002	324	143	Difficult-to-Map Regions
B1S5A	PACBIO	NA	4	SNVandINDEL	0.9963298595378342	0.982744711366081	0.9894906585452301	21927	385	21989	81	31	44	MHC
J04SL	PACBIO	NA	2	INDEL	0.997531	0.99452	0.996024	522516	2879	544311	1347	846	213	All Benchmark Regions
J04SL	PACBIO	NA	2	INDEL	0.989929	0.960938	0.975218	1599	65	1671	17	7	10	MHC
J04SL	PACBIO	NA	2	INDEL	0.99559	0.992639	0.994112	17395	129	17611	78	10	2	Difficult-to-Map Regions
J04SL	PACBIO	NA	2	SNP	0.99959	0.99933	0.99946	3363092	2255	3366146	1380	219	122	All Benchmark Regions
J04SL	PACBIO	NA	2	SNP	0.999298	0.990224	0.994741	19955	197	19933	14	6	8	MHC
J04SL	PACBIO	NA	2	SNP	0.99550399999999994	0.993667	0.994584	257784	1643	257945	1165	118	33	Difficult-to-Map Regions
J04SL	PACBIO	NA	4	INDEL	0.995532	0.990249	0.992884	506463	4987	527388	2367	1392	608	All Benchmark Regions
J04SL	PACBIO	NA	4	INDEL	0.981207	0.951557	0.966155	1650	84	1723	33	12	19	MHC
J04SL	PACBIO	NA	4	INDEL	0.99064700000000006	0.989834	0.99024	16358	168	16523	156	17	22	Difficult-to-Map Regions
J04SL	PACBIO	NA	4	SNP	0.999278	0.998786	0.999032	3351522	4075	3354439	2425	460	386	All Benchmark Regions
J04SL	PACBIO	NA	4	SNP	0.997881	0.984644	0.991218	20262	316	20251	43	17	22	MHC
J04SL	PACBIO	NA	4	SNP	0.994162	0.990061	0.992107	261187	2622	261386	1535	262	106	Difficult-to-Map Regions
J04SL	PACBIO	NA	3	INDEL	0.995703	0.991169	0.993431	500372	4458	520729	2247	1237	587	All Benchmark Regions
J04SL	PACBIO	NA	3	INDEL	0.986502	0.970321	0.978345	1602	49	1681	23	15	7	MHC
J04SL	PACBIO	NA	3	INDEL	0.989439	0.988027	0.988733	16257	197	16396	175	23	15	Difficult-to-Map Regions
J04SL	PACBIO	NA	3	SNP	0.99914	0.998816	0.998978	3327544	3945	3330226	2866	528	339	All Benchmark Regions
J04SL	PACBIO	NA	3	SNP	0.997804	0.990881	0.99433	19558	180	19536	43	32	9	MHC
J04SL	PACBIO	NA	3	SNP	0.992652	0.988912	0.990778	255958	2870	256146	1896	278	110	Difficult-to-Map Regions
J04SL	PACBIO	NA	2	SNVandINDEL	0.9993031250255546	0.9986804573523508	0.9989916941623718	3885608	5134	3910457	2727	1065	335	All Benchmark Regions
J04SL	PACBIO	NA	2	SNVandINDEL	0.9955093768402342	0.9936017562673541	0.9945546518195219	275179	1772	275556	1243	128	35	Difficult-to-Map Regions
J04SL	PACBIO	NA	2	SNVandINDEL	0.9985671365842385	0.987990465713238	0.9932506454167866	21554	262	21604	31	13	18	MHC
J04SL	PACBIO	NA	3	SNVandINDEL	0.9986740379059705	0.9978096190645251	0.9982416413512508	3827916	8403	3850955	5113	1765	926	All Benchmark Regions
J04SL	PACBIO	NA	3	SNVandINDEL	0.9924584779307607	0.988858697626434	0.9906553176261959	272215	3067	272542	2071	301	125	Difficult-to-Map Regions
J04SL	PACBIO	NA	3	SNVandINDEL	0.9968989334210403	0.9892935621113657	0.9930816868228683	21160	229	21217	66	47	16	MHC
J04SL	PACBIO	NA	4	SNVandINDEL	0.9987670517743057	0.9976566098110522	0.9982115219701135	3857985	9062	3881827	4792	1852	994	All Benchmark Regions
J04SL	PACBIO	NA	4	SNVandINDEL	0.9939520743919885	0.990047621595591	0.9919960060699049	277545	2790	277909	1691	279	128	Difficult-to-Map Regions
J04SL	PACBIO	NA	4	SNVandINDEL	0.9965532879818594	0.9820724273933309	0.9892598675435383	21912	400	21974	76	29	41	MHC
0GOOR	PACBIO	NA	2	INDEL	0.903997	0.935776	0.919612	491652	33743	498388	52928	24485	4530	All Benchmark Regions
0GOOR	PACBIO	NA	2	INDEL	0.98268200000000006	0.983774	0.983227	1637	27	1759	31	10	16	MHC
0GOOR	PACBIO	NA	2	INDEL	0.935165	0.979628	0.95688	17167	357	17525	1215	196	136	Difficult-to-Map Regions
0GOOR	PACBIO	NA	2	SNP	0.99395	0.998554	0.996247	3360470	4866	3361434	20459	2671	2477	All Benchmark Regions
0GOOR	PACBIO	NA	2	SNP	0.9994	0.99469	0.99704	20045	107	19986	12	6	6	MHC
0GOOR	PACBIO	NA	2	SNP	0.946737	0.992603	0.969128	257508	1919	257538	14489	555	1260	Difficult-to-Map Regions
0GOOR	PACBIO	NA	4	INDEL	0.918052	0.939546	0.928675	480531	30919	486976	43469	19658	4240	All Benchmark Regions
0GOOR	PACBIO	NA	4	INDEL	0.90796	0.983276	0.944118	1705	29	1825	185	18	82	MHC
0GOOR	PACBIO	NA	4	INDEL	0.920978	0.98106	0.95007	16213	313	16503	1416	154	153	Difficult-to-Map Regions
0GOOR	PACBIO	NA	4	SNP	0.993328	0.998278	0.995797	3349820	5777	3350659	22505	3278	2921	All Benchmark Regions
0GOOR	PACBIO	NA	4	SNP	0.950784	0.998542	0.974078	20548	30	20497	1061	17	488	MHC
0GOOR	PACBIO	NA	4	SNP	0.948494	0.993412	0.970433	262071	1738	262138	14235	577	1434	Difficult-to-Map Regions
0GOOR	PACBIO	NA	3	INDEL	0.922107	0.942692	0.932285	475899	28931	482401	40750	18349	4040	All Benchmark Regions
