Participant(s)	Technology	Multi_Details	Submission_Name	Type	challenge_cat	FP.al	FP.gt	METRIC.F1_Score	METRIC.Precision	METRIC.Recall	QUERY.FP	QUERY.TP	TRUTH.FN	TRUTH.TP
The Genomics Team in Google Health	MULTI	ILLUMINAPACBIO	DeepVariant Hybrid PacBio-Illumina	SNP	Difficult-to-Map Regions	128	294	0.993762869	0.993101722	0.994425961	1795	259956	1455	259850
The Genomics Team in Google Health	MULTI	ILLUMINAPACBIO	DeepVariant Hybrid PacBio-Illumina	SNP	MHC	24	21	0.994946361	0.997455	0.992453514	51	19988	134	20002
The Genomics Team in Google Health	MULTI	ILLUMINAPACBIO	DeepVariant Hybrid PacBio-Illumina	SNVandINDEL	All Benchmark Regions	1525	1251	0.998888104	0.998623873	0.999152476	5334	3872637	3264	3848388
The Genomics Team in Google Health	MULTI	ILLUMINAPACBIO	DeepVariant Hybrid PacBio-Illumina	SNVandINDEL	Difficult-to-Map Regions	164	323	0.993514011	0.99279285	0.994236276	1996	276510	1599	276196
The Genomics Team in Google Health	MULTI	ILLUMINAPACBIO	DeepVariant Hybrid PacBio-Illumina	SNVandINDEL	MHC	39	35	0.993701854	0.996269382	0.99115097	81	21738	173	21652
The Genomics Team in Google Health	ILLUMINA	NA	DeepVariant Illumina	INDEL	All Benchmark Regions	263	717	0.995949497	0.997436	0.994466987	1354	526937	2810	505318
The Genomics Team in Google Health	ILLUMINA	NA	DeepVariant Illumina	INDEL	Difficult-to-Map Regions	42	106	0.943395445	0.97556221	0.913282622	382	15270	1430	15060
The Genomics Team in Google Health	ILLUMINA	NA	DeepVariant Illumina	INDEL	MHC	11	15	0.971728673	0.983747232	0.96004225	28	1695	64	1624
The Genomics Team in Google Health	ILLUMINA	NA	DeepVariant Illumina	SNP	All Benchmark Regions	569	1804	0.995632497	0.997735999	0.993537981	7539	3323526	21596	3321916
The Genomics Team in Google Health	ILLUMINA	NA	DeepVariant Illumina	SNP	Difficult-to-Map Regions	421	1627	0.947394661	0.975122979	0.921200938	6142	240780	20586	240716
The Genomics Team in Google Health	ILLUMINA	NA	DeepVariant Illumina	SNP	MHC	36	38	0.987170784	0.994250378	0.98019952	114	19736	386	19755
The Genomics Team in Google Health	ILLUMINA	NA	DeepVariant Illumina	SNVandINDEL	All Benchmark Regions	833	2522	0.995673757	0.997695046	0.993660657	8894	3850466	24406	3827235
The Genomics Team in Google Health	ILLUMINA	NA	DeepVariant Illumina	SNVandINDEL	Difficult-to-Map Regions	463	1734	0.947158301	0.975148971	0.920730623	6525	256051	22016	255776
The Genomics Team in Google Health	ILLUMINA	NA	DeepVariant Illumina	SNVandINDEL	MHC	47	53	0.985964348	0.993410868	0.978638064	142	21432	450	21379
The Genomics Team in Google Health	ILLUMINA	NA	DeepVariant Illumina (filtered for precision)	INDEL	All Benchmark Regions	201	497	0.995582	0.998238498	0.992939493	928	526006	3587	504542
The Genomics Team in Google Health	ILLUMINA	NA	DeepVariant Illumina (filtered for precision)	INDEL	Difficult-to-Map Regions	26	66	0.942043116	0.98562386	0.902154783	220	15083	1613	14876
The Genomics Team in Google Health	ILLUMINA	NA	DeepVariant Illumina (filtered for precision)	INDEL	MHC	13	10	0.970900625	0.984848414	0.957371519	26	1689	70	1620
The Genomics Team in Google Health	ILLUMINA	NA	DeepVariant Illumina (filtered for precision)	SNP	All Benchmark Regions	355	990	0.995580496	0.998688999	0.992491977	4357	3319991	25094	3318417
The Genomics Team in Google Health	ILLUMINA	NA	DeepVariant Illumina (filtered for precision)	SNP	Difficult-to-Map Regions	224	873	0.946178519	0.9863185	0.909179341	3296	237639	23727	237575
The Genomics Team in Google Health	ILLUMINA	NA	DeepVariant Illumina (filtered for precision)	SNP	MHC	29	34	0.98657217	0.995021468	0.978274187	98	19699	422	19716
The Genomics Team in Google Health	ILLUMINA	NA	DeepVariant Illumina (filtered for precision)	SNVandINDEL	All Benchmark Regions	556	1487	0.995579716	0.998627195	0.992550795	5285	3846000	28681	3822961
The Genomics Team in Google Health	ILLUMINA	NA	DeepVariant Illumina (filtered for precision)	SNVandINDEL	Difficult-to-Map Regions	250	939	0.94593392	0.986276831	0.908762518	3516	252723	25340	252452
The Genomics Team in Google Health	ILLUMINA	NA	DeepVariant Illumina (filtered for precision)	SNVandINDEL	MHC	43	44	0.985349231	0.994210438	0.97665457	124	21389	492	21336
The Genomics Team in Google Health	PACBIO	NA	DeepVariant PacBio	INDEL	All Benchmark Regions	884	1782	0.993614973	0.993776989	0.993452452	3292	525845	3323	504802
The Genomics Team in Google Health	PACBIO	NA	DeepVariant PacBio	INDEL	Difficult-to-Map Regions	20	25	0.989142788	0.987570348	0.990719718	207	16489	153	16337
The Genomics Team in Google Health	PACBIO	NA	DeepVariant PacBio	INDEL	MHC	13	15	0.972634647	0.981919328	0.963530046	31	1706	60	1630
The Genomics Team in Google Health	PACBIO	NA	DeepVariant PacBio	SNP	All Benchmark Regions	373	630	0.999049999	0.999034497	0.9990655	3220	3343303	3125	3340396
The Genomics Team in Google Health	PACBIO	NA	DeepVariant PacBio	SNP	Difficult-to-Map Regions	124	311	0.991785238	0.992254085	0.991317855	2010	259232	2264	259038
The Genomics Team in Google Health	PACBIO	NA	DeepVariant PacBio	SNP	MHC	14	25	0.992834449	0.997716493	0.988003022	45	19895	234	19912
The Genomics Team in Google Health	PACBIO	NA	DeepVariant PacBio	SNVandINDEL	All Benchmark Regions	1258	2414	0.998320583	0.99831637	0.998324799	6522	3869151	6450	3845200
The Genomics Team in Google Health	PACBIO	NA	DeepVariant PacBio	SNVandINDEL	Difficult-to-Map Regions	144	336	0.991627257	0.991972764	0.991282018	2217	275722	2417	275375
The Genomics Team in Google Health	PACBIO	NA	DeepVariant PacBio	SNVandINDEL	MHC	27	41	0.991250529	0.996450825	0.986106891	77	21602	294	21542
The Genomics Team in Google Health	PACBIO	NA	DeepVariant PacBio (filtered for precision)	INDEL	All Benchmark Regions	597	1312	0.993157462	0.995617496	0.990708893	2306	524048	4715	503408
The Genomics Team in Google Health	PACBIO	NA	DeepVariant PacBio (filtered for precision)	INDEL	Difficult-to-Map Regions	18	20	0.989486213	0.990042816	0.988930087	165	16459	182	16307
The Genomics Team in Google Health	PACBIO	NA	DeepVariant PacBio (filtered for precision)	INDEL	MHC	12	13	0.972230895	0.983850938	0.960893199	28	1702	64	1626
The Genomics Team in Google Health	PACBIO	NA	DeepVariant PacBio (filtered for precision)	SNP	All Benchmark Regions	362	493	0.999005	0.999208998	0.998801	2636	3342311	4009	3339511
The Genomics Team in Google Health	PACBIO	NA	DeepVariant PacBio (filtered for precision)	SNP	Difficult-to-Map Regions	108	270	0.991442277	0.993406713	0.989486333	1706	258753	2743	258559
The Genomics Team in Google Health	PACBIO	NA	DeepVariant PacBio (filtered for precision)	SNP	MHC	14	23	0.992772781	0.997842499	0.987757577	43	19890	238	19907
The Genomics Team in Google Health	PACBIO	NA	DeepVariant PacBio (filtered for precision)	SNVandINDEL	All Benchmark Regions	959	1808	0.998226582	0.998720544	0.997733112	4950	3866360	8726	3842921
The Genomics Team in Google Health	PACBIO	NA	DeepVariant PacBio (filtered for precision)	SNVandINDEL	Difficult-to-Map Regions	126	290	0.991325435	0.993204995	0.989452981	1871	275212	2925	274867
The Genomics Team in Google Health	PACBIO	NA	DeepVariant PacBio (filtered for precision)	SNVandINDEL	MHC	26	37	0.991168935	0.996726096	0.985676382	71	21592	303	21533
0GOOR	PACBIO	NA	0GOOR	INDEL	All Benchmark Regions	4139	18992	0.930478249	0.920077266	0.941117685	42088	484683	29908	478209
0GOOR	PACBIO	NA	0GOOR	INDEL	Difficult-to-Map Regions	139	165	0.952550761	0.926184782	0.980471323	1309	16468	322	16168
0GOOR	PACBIO	NA	0GOOR	INDEL	MHC	70	19	0.949005847	0.919047305	0.981035948	154	1772	32	1660
0GOOR	PACBIO	NA	0GOOR	SNP	All Benchmark Regions	2602	3242	0.995945489	0.993606961	0.998295	21460	3338642	5699	3337822
0GOOR	PACBIO	NA	0GOOR	SNP	Difficult-to-Map Regions	1158	563	0.971897894	0.951638288	0.993043432	13161	259552	1815	259489
0GOOR	PACBIO	NA	0GOOR	SNP	MHC	436	38	0.972591366	0.949681361	0.996634678	1061	20030	56	20086
0GOOR	PACBIO	NA	0GOOR	SNVandINDEL	All Benchmark Regions	6748	22235	0.987183743	0.983641387	0.990751729	63549	3823326	35609	3816031
0GOOR	PACBIO	NA	0GOOR	SNVandINDEL	Difficult-to-Map Regions	1298	728	0.97072829	0.950080812	0.992296858	14470	276021	2137	275657
0GOOR	PACBIO	NA	0GOOR	SNVandINDEL	MHC	506	61	0.9706631	0.947102589	0.995426642	1218	21802	91	21746
BARQS	ILLUMINA	NA	BARQS	INDEL	All Benchmark Regions	1919	6054	0.974985842	0.981356577	0.968698075	9138	491634	15612	492225
BARQS	ILLUMINA	NA	BARQS	INDEL	Difficult-to-Map Regions	130	253	0.859684307	0.938448748	0.793131862	849	12986	3411	13080
BARQS	ILLUMINA	NA	BARQS	INDEL	MHC	52	22	0.941063069	0.939762618	0.942377052	102	1644	91	1594
BARQS	ILLUMINA	NA	BARQS	SNP	All Benchmark Regions	6987	3980	0.986938115	0.99037993	0.983519956	31618	3293444	55091	3288421
BARQS	ILLUMINA	NA	BARQS	SNP	Difficult-to-Map Regions	1155	2474	0.875641372	0.947185448	0.814146461	11876	212990	48563	212742
BARQS	ILLUMINA	NA	BARQS	SNP	MHC	429	101	0.956848296	0.955493947	0.958209434	897	19319	834	19311
BARQS	ILLUMINA	NA	BARQS	SNVandINDEL	All Benchmark Regions	8917	10035	0.9853665	0.989197789	0.981564905	40769	3785079	70891	3780648
BARQS	ILLUMINA	NA	BARQS	SNVandINDEL	Difficult-to-Map Regions	1285	2728	0.874701781	0.94667718	0.812897764	12728	225977	51975	225822
BARQS	ILLUMINA	NA	BARQS	SNVandINDEL	MHC	481	123	0.955600692	0.954219944	0.956987402	1001	20963	927	20906
Wasai Technology	ILLUMINA	NA	Wasai Technology	INDEL	All Benchmark Regions	318	2546	0.981986997	0.991615998	0.972543497	4356	515228	13951	494178
Wasai Technology	ILLUMINA	NA	Wasai Technology	INDEL	Difficult-to-Map Regions	149	267	0.882067148	0.912522491	0.853580018	1369	14286	2414	14075
Wasai Technology	ILLUMINA	NA	Wasai Technology	INDEL	MHC	3	17	0.013890766	0.367665505	0.007092695	22	13	1679	12
Wasai Technology	ILLUMINA	NA	Wasai Technology	SNP	All Benchmark Regions	2515	6603	0.979766496	0.990072492	0.969673499	32515	3243063	101397	3242124
Wasai Technology	ILLUMINA	NA	Wasai Technology	SNP	Difficult-to-Map Regions	1897	4274	0.886173305	0.906253234	0.866963871	23431	226553	34760	226543
Wasai Technology	ILLUMINA	NA	Wasai Technology	SNP	MHC	44	140	0.023043199	0.52909996	0.011793909	210	238	19906	238
Wasai Technology	ILLUMINA	NA	Wasai Technology	SNVandINDEL	All Benchmark Regions	2835	9149	0.980063646	0.990283929	0.970052168	36872	3758293	115349	3736304
Wasai Technology	ILLUMINA	NA	Wasai Technology	SNVandINDEL	Difficult-to-Map Regions	2048	4542	0.885934278	0.906622044	0.866169579	24801	240839	37174	240619
Wasai Technology	ILLUMINA	NA	Wasai Technology	SNVandINDEL	MHC	48	157	0.022340487	0.517250424	0.011432581	233	251	21586	250
TryHard	ILLUMINA	NA	bwamem-deepvariant	INDEL	All Benchmark Regions	252	2600	0.990076471	0.993911997	0.986271418	3200	522518	6973	501153
TryHard	ILLUMINA	NA	bwamem-deepvariant	INDEL	Difficult-to-Map Regions	48	137	0.934560791	0.970115	0.901520732	464	15078	1624	14866
TryHard	ILLUMINA	NA	bwamem-deepvariant	INDEL	MHC	9	11	0.956403451	0.985898965	0.928785137	23	1643	112	1571
TryHard	ILLUMINA	NA	bwamem-deepvariant	SNP	All Benchmark Regions	625	2875	0.994568986	0.9974075	0.991745934	8622	3317522	27571	3315924
TryHard	ILLUMINA	NA	bwamem-deepvariant	SNP	Difficult-to-Map Regions	475	1951	0.939364543	0.971602	0.909198341	6946	237641	23722	237580
TryHard	ILLUMINA	NA	bwamem-deepvariant	SNP	MHC	42	91	0.955350256	0.991310854	0.922127593	161	18564	1437	18584
TryHard	ILLUMINA	NA	bwamem-deepvariant	SNVandINDEL	All Benchmark Regions	877	5475	0.993968238	0.996930426	0.991023638	11823	3840043	34544	3817079
TryHard	ILLUMINA	NA	bwamem-deepvariant	SNVandINDEL	Difficult-to-Map Regions	524	2088	0.939079624	0.971513071	0.908742535	7410	252720	25346	252446
TryHard	ILLUMINA	NA	bwamem-deepvariant	SNVandINDEL	MHC	51	103	0.95542593	0.990869185	0.922645916	185	20207	1549	20156
TryHard	MULTI	ILLUMINAPACBIO	Winnowmap-bwamem-deepvariant	INDEL	All Benchmark Regions	4236	2707	0.987305463	0.985610985	0.98900543	7735	529881	5583	502543
TryHard	MULTI	ILLUMINAPACBIO	Winnowmap-bwamem-deepvariant	INDEL	Difficult-to-Map Regions	252	147	0.961192947	0.956393437	0.966041457	749	16438	560	15930
TryHard	MULTI	ILLUMINAPACBIO	Winnowmap-bwamem-deepvariant	INDEL	MHC	87	12	0.93987412	0.942576975	0.937354115	102	1682	96	1586
TryHard	MULTI	ILLUMINAPACBIO	Winnowmap-bwamem-deepvariant	SNP	All Benchmark Regions	2984	861	0.997680999	0.996861999	0.998500994	10508	3338299	5000	3338509
TryHard	MULTI	ILLUMINAPACBIO	Winnowmap-bwamem-deepvariant	SNP	Difficult-to-Map Regions	671	362	0.981496369	0.97530344	0.987768768	6535	258117	3191	258111
TryHard	MULTI	ILLUMINAPACBIO	Winnowmap-bwamem-deepvariant	SNP	MHC	78	41	0.972161062	0.991296922	0.953869277	167	19197	805	19224
TryHard	MULTI	ILLUMINAPACBIO	Winnowmap-bwamem-deepvariant	SNVandINDEL	All Benchmark Regions	7220	3568	0.996275786	0.995305473	0.997247998	18245	3868182	10585	3841053
TryHard	MULTI	ILLUMINAPACBIO	Winnowmap-bwamem-deepvariant	SNVandINDEL	Difficult-to-Map Regions	923	509	0.980276099	0.974150329	0.986479423	7285	274556	3752	274042
TryHard	MULTI	ILLUMINAPACBIO	Winnowmap-bwamem-deepvariant	SNVandINDEL	MHC	165	53	0.969515717	0.987185661	0.952589746	270	20880	902	20810
TryHard	PACBIO	NA	winnowmap-deepvariant	INDEL	All Benchmark Regions	2618	4226	0.98585626	0.98628884	0.985423164	7354	529433	7395	500722
TryHard	PACBIO	NA	winnowmap-deepvariant	INDEL	Difficult-to-Map Regions	74	43	0.987297998	0.987816995	0.986779478	208	16864	218	16272
TryHard	PACBIO	NA	winnowmap-deepvariant	INDEL	MHC	23	12	0.958867699	0.97888255	0.939705791	36	1713	97	1590
TryHard	PACBIO	NA	winnowmap-deepvariant	SNP	All Benchmark Regions	712	966	0.998501999	0.998875	0.998129495	3759	3336911	6244	3337268
TryHard	PACBIO	NA	winnowmap-deepvariant	SNP	Difficult-to-Map Regions	102	330	0.989881435	0.993457498	0.986330697	1697	257731	3566	257736
TryHard	PACBIO	NA	winnowmap-deepvariant	SNP	MHC	26	37	0.972450224	0.99526279	0.950746681	88	19112	906	19161
TryHard	PACBIO	NA	winnowmap-deepvariant	SNVandINDEL	All Benchmark Regions	3330	5192	0.99679252	0.997132045	0.99645323	11117	3866345	13640	3837991
TryHard	PACBIO	NA	winnowmap-deepvariant	SNVandINDEL	Difficult-to-Map Regions	176	373	0.989722037	0.99310949	0.986357777	1905	274596	3784	274009
TryHard	PACBIO	NA	winnowmap-deepvariant	SNVandINDEL	MHC	49	51	0.971350993	0.993893842	0.94989249	124	20825	1004	20751
H9OJ3	ILLUMINA	NA	H9OJ3	INDEL	All Benchmark Regions	253	31817	0.810871683	0.918869966	0.725590828	32530	368432	139433	368694
H9OJ3	ILLUMINA	NA	H9OJ3	INDEL	Difficult-to-Map Regions	77	534	0.690885762	0.902001418	0.559851776	1002	9222	7258	9232
H9OJ3	ILLUMINA	NA	H9OJ3	INDEL	MHC	4	61	0.758573227	0.939317516	0.636224578	69	1076	615	1076
H9OJ3	ILLUMINA	NA	H9OJ3	SNP	All Benchmark Regions	1092	22935	0.942478394	0.990123971	0.899208291	29988	3007200	336992	3006523
H9OJ3	ILLUMINA	NA	H9OJ3	SNP	Difficult-to-Map Regions	817	3381	0.750472768	0.944142575	0.622733234	9627	162740	98581	162724
H9OJ3	ILLUMINA	NA	H9OJ3	SNP	MHC	37	294	0.798710756	0.973122662	0.677334997	375	13655	6498	13651
H9OJ3	ILLUMINA	NA	H9OJ3	SNVandINDEL	All Benchmark Regions	1345	54759	0.926063141	0.981813955	0.876303667	62523	3375633	476425	3375217
H9OJ3	ILLUMINA	NA	H9OJ3	SNVandINDEL	Difficult-to-Map Regions	895	3915	0.747014135	0.941782841	0.618999904	10629	171962	105840	171956
H9OJ3	ILLUMINA	NA	H9OJ3	SNVandINDEL	MHC	42	356	0.795634168	0.970569754	0.674150522	445	14731	7113	14727
Genomics Division at ITER	ILLUMINA	NA	ITER (v1) - Illumina	INDEL	All Benchmark Regions	499	2527	0.978953215	0.9923125	0.965949367	3965	511826	17285	490827
Genomics Division at ITER	ILLUMINA	NA	ITER (v1) - Illumina	INDEL	Difficult-to-Map Regions	78	147	0.84626672	0.953439806	0.760753904	622	12751	3945	12545
Genomics Division at ITER	ILLUMINA	NA	ITER (v1) - Illumina	INDEL	MHC	3	17	0.010370073	0.3011696	0.005285769	21	9	1682	9
Genomics Division at ITER	ILLUMINA	NA	ITER (v1) - Illumina	SNP	All Benchmark Regions	1535	1522	0.972782348	0.995780437	0.950823026	13427	3180030	164357	3179098
Genomics Division at ITER	ILLUMINA	NA	ITER (v1) - Illumina	SNP	Difficult-to-Map Regions	467	413	0.770171732	0.968868308	0.639237694	5319	167047	94085	167037
Genomics Division at ITER	ILLUMINA	NA	ITER (v1) - Illumina	SNP	MHC	3	40	0.008052021	0.620455962	0.004054873	45	82	20070	82
Genomics Division at ITER	ILLUMINA	NA	ITER (v1) - Illumina	SNVandINDEL	All Benchmark Regions	2036	4049	0.973595129	0.995298522	0.952818784	17401	3691859	181644	3669927
Genomics Division at ITER	ILLUMINA	NA	ITER (v1) - Illumina	SNVandINDEL	Difficult-to-Map Regions	551	563	0.775051926	0.96774271	0.6464715	5954	179803	98032	179588
Genomics Division at ITER	ILLUMINA	NA	ITER (v1) - Illumina	SNVandINDEL	MHC	6	57	0.008271426	0.564239949	0.004169365	67	91	21751	91
Genomics Division at ITER	ILLUMINA	NA	ITER (v2) - Illumina filtered	INDEL	All Benchmark Regions	222	2292	0.975079254	0.994258498	0.956626654	2928	507070	22029	486090
Genomics Division at ITER	ILLUMINA	NA	ITER (v2) - Illumina filtered	INDEL	Difficult-to-Map Regions	25	35	0.722909472	0.981590752	0.572133951	179	9628	7055	9434
Genomics Division at ITER	ILLUMINA	NA	ITER (v2) - Illumina filtered	INDEL	MHC	0	0	0.004078527	0.603022388	0.002047393	0	3	1689	3
Genomics Division at ITER	ILLUMINA	NA	ITER (v2) - Illumina filtered	SNP	All Benchmark Regions	612	1342	0.970000999	0.997755499	0.943749494	7099	3156376	188076	3155445
Genomics Division at ITER	ILLUMINA	NA	ITER (v2) - Illumina filtered	SNP	Difficult-to-Map Regions	232	295	0.712104099	0.978492604	0.559727847	3212	146269	115041	146260
Genomics Division at ITER	ILLUMINA	NA	ITER (v2) - Illumina filtered	SNP	MHC	2	27	0.006560098	0.642416142	0.00329927	31	66	20085	66
Genomics Division at ITER	ILLUMINA	NA	ITER (v2) - Illumina filtered	SNVandINDEL	All Benchmark Regions	835	3634	0.970668143	0.997270164	0.945448479	10028	3663452	210111	3641539
Genomics Division at ITER	ILLUMINA	NA	ITER (v2) - Illumina filtered	SNVandINDEL	Difficult-to-Map Regions	258	331	0.712751691	0.978680882	0.560465608	3394	155898	122096	155696
Genomics Division at ITER	ILLUMINA	NA	ITER (v2) - Illumina filtered	SNVandINDEL	MHC	2	28	0.006369691	0.640125448	0.003202668	32	70	21774	70
Genomics Division at ITER	MULTI	ILLUMINAPACBIOONT	ITER (v3) - Illumina + PacBio + ONT	INDEL	All Benchmark Regions	1042	2515	0.978237707	0.991283	0.965531863	4496	511299	17497	490616
Genomics Division at ITER	MULTI	ILLUMINAPACBIOONT	ITER (v3) - Illumina + PacBio + ONT	INDEL	Difficult-to-Map Regions	124	144	0.845532797	0.950224701	0.761620053	665	12708	3933	12566
Genomics Division at ITER	MULTI	ILLUMINAPACBIOONT	ITER (v3) - Illumina + PacBio + ONT	INDEL	MHC	3	17	0.010370073	0.3011696	0.005285769	21	9	1682	9
Genomics Division at ITER	MULTI	ILLUMINAPACBIOONT	ITER (v3) - Illumina + PacBio + ONT	SNP	All Benchmark Regions	26837	5625	0.981110972	0.981098229	0.981124465	63175	3281592	63106	3280409
Genomics Division at ITER	MULTI	ILLUMINAPACBIOONT	ITER (v3) - Illumina + PacBio + ONT	SNP	Difficult-to-Map Regions	1835	3222	0.927499984	0.934276766	0.92082215	16930	240708	20688	240617
Genomics Division at ITER	MULTI	ILLUMINAPACBIOONT	ITER (v3) - Illumina + PacBio + ONT	SNP	MHC	25	507	0.079107701	0.592812312	0.042381617	578	854	19295	854
Genomics Division at ITER	MULTI	ILLUMINAPACBIOONT	ITER (v3) - Illumina + PacBio + ONT	SNVandINDEL	All Benchmark Regions	27880	8140	0.980760402	0.982459298	0.97906765	67674	3792896	80608	3771029
Genomics Division at ITER	MULTI	ILLUMINAPACBIOONT	ITER (v3) - Illumina + PacBio + ONT	SNVandINDEL	Difficult-to-Map Regions	1961	3366	0.923061865	0.935062751	0.911366137	17597	253416	24621	253183
Genomics Division at ITER	MULTI	ILLUMINAPACBIOONT	ITER (v3) - Illumina + PacBio + ONT	SNVandINDEL	MHC	29	524	0.074191282	0.586868565	0.039598673	600	865	20977	865
Genomics Division at ITER	MULTI	ILLUMINAPACBIOONT	ITER (v4) - Illumina + PacBio + ONT filtered	INDEL	All Benchmark Regions	1020	2514	0.978258203	0.9913275	0.96552936	4473	511323	17499	490615
Genomics Division at ITER	MULTI	ILLUMINAPACBIOONT	ITER (v4) - Illumina + PacBio + ONT filtered	INDEL	Difficult-to-Map Regions	123	145	0.845497298	0.950262299	0.761538975	664	12709	3933	12562
Genomics Division at ITER	MULTI	ILLUMINAPACBIOONT	ITER (v4) - Illumina + PacBio + ONT filtered	INDEL	MHC	3	17	0.010370073	0.3011696	0.005285769	21	9	1682	9
Genomics Division at ITER	MULTI	ILLUMINAPACBIOONT	ITER (v4) - Illumina + PacBio + ONT filtered	SNP	All Benchmark Regions	15276	4809	0.9832765	0.989532478	0.977097977	34563	3268090	76570	3266948
Genomics Division at ITER	MULTI	ILLUMINAPACBIOONT	ITER (v4) - Illumina + PacBio + ONT filtered	SNP	Difficult-to-Map Regions	1194	2898	0.930263324	0.954190498	0.907506907	11389	237226	24167	237138
Genomics Division at ITER	MULTI	ILLUMINAPACBIOONT	ITER (v4) - Illumina + PacBio + ONT filtered	SNP	MHC	5	237	0.043536955	0.647701925	0.022525411	247	454	19700	454
Genomics Division at ITER	MULTI	ILLUMINAPACBIOONT	ITER (v4) - Illumina + PacBio + ONT filtered	SNVandINDEL	All Benchmark Regions	16296	7324	0.982622517	0.98977508	0.975572595	39037	3779420	94086	3757567
Genomics Division at ITER	MULTI	ILLUMINAPACBIOONT	ITER (v4) - Illumina + PacBio + ONT filtered	SNVandINDEL	Difficult-to-Map Regions	1319	3043	0.925593051	0.95398949	0.898838433	12054	249935	28102	249700
Genomics Division at ITER	MULTI	ILLUMINAPACBIOONT	ITER (v4) - Illumina + PacBio + ONT filtered	SNVandINDEL	MHC	8	255	0.041132627	0.632685001	0.021257405	269	464	21381	464
